OID_,gradient,modificati,modificat1,modified,monitoring,municipali,natureofev,entrancelo,provincete,nhnwatersh,fishpassty,operatingn,operatedby,architect,constructe,length_m,contracted,depth_m,designedon,elevationm,engineerin,estimateof,estimateo1,fishwayref,hasevaluat,knownnotus,latitude,longitude,maxfishway,meanfishwa,entrancepo,completele,operationp,plansheldb,purpose,rivernamee,rivernamef,nhnwaters1,completel1,cabd_id,dam_id,known_use,datasource,featuretyp,waterbodyn,waterbody1,yearconstr,entrancep1,entrancel1,provincet1,fishpasst1,structuren,structure1,PRPWSHID,NHN7DWSH,NHN4DWSH
95,0.000000000000000, ,0,0, ,St. Mary's, ,0,ns,Liscomb,3,"We got within 2.5 km of the coordinates, but could not access the site because of bad road conditions.", , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,45.035498975199999,-62.104508708099999,0.000000000000000,0.000000000000000,0,0, , , ,Liscomb River, ,01EN000, ,7a359c6f-dd6e-45c3-b798-dd492cc09947, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/7a359c6f-dd6e-45c3-b798-dd492cc09947,fishways, , ,0, , ,Nova Scotia,Pool and weir,Liscomb River Fish Ladder, , ,01EN000,01EN
96,0.000000000000000, ,0,0, ,"Kings, Subd. C",Evaluation of fish Passage,0,ns,Gaspereau,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,44.935279999999999,-64.516570000000002,0.000000000000000,0.000000000000000,0,0, , , , , ,01DD000, ,3f03ed5a-d9c0-4c3e-81fd-8b23e0ca2c38,a0bdec1f-884e-4588-b64f-d291f1301a90, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/3f03ed5a-d9c0-4c3e-81fd-8b23e0ca2c38,fishways, , ,0, , ,Nova Scotia,Pool and weir,Forest Home Dyke, , ,01DD000,01DD
97,0.000000000000000, ,0,0, ,"Division No.  6, Subd. D",Counting,2,nl,Gander,3, ,Salmon Association of Eastern Newfoundland, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,48.999538889999997,-54.895036109999999,0.000000000000000,0.000000000000000,2,0,junsep, ,To facilitate passage of upstream migrants,Salmon Brook, ,02YQ000, ,efa1895a-6abb-49f0-9a1f-8076f5aa1162, ,"{""Brook trout (Salvelinus fontinalis)"",""Atlantic salmon (Salmo salar)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/efa1895a-6abb-49f0-9a1f-8076f5aa1162,fishways, , ,0,Surface,Bank,Newfoundland and Labrador,Pool and weir,Salmon Brook fishway, , ,02YQ000,02YQ
98,0.000000000000000, ,0,0, ,"Division No.  7, Subd. D",counting,0,nl,Southern and Eastern Bonavista Bay,3, ,Salmon Association of Eastern Newfoundland, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,48.601938890000000,-54.078566670000001,0.000000000000000,0.000000000000000,0,0,junoct, , ,Terra Nova River, ,02YS000, ,a8ca06cd-79b3-4791-9cb8-d6a864fcd96a, ,"{""Brook trout (Salvelinus fontinalis)"",""Atlantic salmon (Salmo salar)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/a8ca06cd-79b3-4791-9cb8-d6a864fcd96a,fishways, , ,0, , ,Newfoundland and Labrador,Pool and weir,Terra Nova (Lower) fishway, , ,02YS000,02YS
99,0.000000000000000, ,0,0, ,"Division No.  3, Subd. D", ,0,nl,Hermitage Bay,3,off the Conne River system, , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.015416670000000,-55.610077779999997,0.000000000000000,0.000000000000000,0,0, , , ,Bernard's Brook, ,02ZE000, ,ed31bb0c-b0a2-4bd3-91e3-e5b3df0fdb32, ,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ed31bb0c-b0a2-4bd3-91e3-e5b3df0fdb32,fishways, , ,1964, , ,Newfoundland and Labrador,Pool and weir,Bernard's Brook fishway, , ,02ZE000,02ZEA
100,0.000000000000000, ,0,0, ,Barrington,Evaluation of fish Passage,0,ns,Clyde,3,There is a runaround fish way on the same site. The fish way was assessed during high flow. There is a bridge downstream from the fish way., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Functional & No Maintenance,0.000000000000000,0.000000000000000, ,1, ,43.568131601399998,-65.578384736199993,0.000000000000000,0.000000000000000,0,0, , , ,Barrington River, ,01EB000, ,3f121068-4e9d-46c7-b590-4f001f5c794a,00ec6831-5a4d-40d2-8af8-109a909177f4, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/3f121068-4e9d-46c7-b590-4f001f5c794a,fishways, , ,0, , ,Nova Scotia,Pool and weir,Barrington Woolen Mill Dam, , ,01EB000,01EB
101,0.000000000000000, ,0,0, ,Queens, ,0,ns,Mersey,3,There is a 0.75 m outflow drop. The concrete is deteriorating on some of the baffles. The bottom two baffles look like they have been replaced recently. We were unable to remove debris because of water depth., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Requires Repair & Requires Maintenance,0.000000000000000,0.000000000000000, ,0, ,44.060089689100003,-64.753996768400000,0.000000000000000,0.000000000000000,0,0, , , ,Riviire Mersey, ,01ED000, ,41179a6b-a373-473c-a7e9-21d0cf0913dd,24fbd48d-3689-454c-a069-3eaf89d9be5a, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/41179a6b-a373-473c-a7e9-21d0cf0913dd,fishways, , ,1928, , ,Nova Scotia,Pool and weir,Milton Dam, , ,01ED000,01ED
102,0.000000000000000, ,0,0, ,Halifax,Evaluation of fish Passage,0,ns,East and West River Sheet Harbour,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,45.125830000000001,-62.697940000000003,0.000000000000000,0.000000000000000,0,0, , , ,Mill Brook, ,01EM000, ,42b7d43f-020f-479c-b888-44eacc3205e3,4c468766-d743-48f6-84be-ddfe0649803d, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/42b7d43f-020f-479c-b888-44eacc3205e3,fishways, , ,0, , ,Nova Scotia,Pool and weir,Ten Mile Lake Main Dam, , ,01EM000,01EM
103,0.000000000000000, ,0,0, ,Ashfield-Colborne-Wawanosh, ,2,on,Penetangore,6,"Owned by MNR

Water flow can be cut off through the fishway

GPS coordinates may not be accurate",Volunteers from Nine Mile Steelhheaders, , ,17.500000000000000, ,0.000000000000000,0,4.100000000000000, ,0.000000000000000,0.000000000000000, ,0, ,43.878334122299997,-81.715282263700004,0.000000000000000,0.000000000000000,0,0,marnov, ,Allow fish passage for upriver migration,Nine Mile River, ,02FD000, ,43e70deb-a5ab-4c30-b729-7c32d0efcc31,01e5660a-d5ee-4bf8-897e-8f87f2e3a7df, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/43e70deb-a5ab-4c30-b729-7c32d0efcc31,fishways, , ,1976, ,Bank,Ontario,Vertical slot,Port Albert fishway, , ,02FD000,02FD
104,0.000000000000000, ,0,0, ,Dogelis, ,0,qc,Upper Saint John - St. Francis,9,"Near DSgelis

Techincal report

Sociatd d?amfnagement de da rivi/re Madawaska et du lac T7miscouata,  1995",Hydro-Quebec, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,47.570525000000004,-68.643455560000007,0.000000000000000,0.000000000000000,0,0, , , ,Riviore Madawaska/Degelis, ,01AD000, ,46fb0567-d894-4f4c-a3ad-cfd142bfe18b,fd27e2e9-8f8f-4b63-b491-6762df99e030, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/46fb0567-d894-4f4c-a3ad-cfd142bfe18b,fishways, , ,1994, , ,Quebec,Unknown,Tnmiscouata Dam,Tnmiscouata Dam, ,01AD000,01AD
105,20.000000000000000,To enhance attraction to the fishway entrance,1994,1, ,Kitchener,Peer reviewed research,2,on,Upper Grand,1, , , , ,11.000000000000000, ,2.100000000000000,1,2.200000000000000, ,0.000000000000000,0.000000000000000, ,1,"{""Stonecat (Noturus flavus)"",""Black crappie (Pomoxis nigromaculatus)""}",43.412646361299998,-80.415636369699996,0.000000000000000,0.000000000000000,1,0, , ,To pass fish upstream, , ,02GA000, ,4b474a4b-ce16-405d-b36d-aca8f50f5642,1e9f60b4-7c62-409f-b1ea-a0c9590dc517,"{""Creek chub (Semotilus atromaculatus)"",""Golden redhorse (Moxostoma erythrurum)"",""Northern hog sucker (Hypentelium nigricans)"",""Common carp (Cyprinus carpio)"",""Largemouth bass (Micropterus salmoides)"",""Hornyhead chub (Nocomis biguttatus)"",""G",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4b474a4b-ce16-405d-b36d-aca8f50f5642,fishways, , ,1990,Bottom,Bank,Ontario,Denil,Mannheim Weir - East, ,ON-02GA-02,02GA000,02GA
106,0.000000000000000, ,0,0, ,"Cumberland, Subd. C", ,0,ns,Maccan,9, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,45.808520341900000,-64.160671298899999,0.000000000000000,0.000000000000000,0,0, , , , , ,01DL000, ,4ba7985d-81b6-4888-a1b5-3720f7c25383,8a9a5a0a-3f73-4475-a620-23d2b20e7d94, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4ba7985d-81b6-4888-a1b5-3720f7c25383,fishways, , ,0, , ,Nova Scotia,Unknown,Nappan River Dam, , ,01DL000,01DL
107,0.000000000000000, ,0,0, ,Norfolk County, ,0,on,Big (Ont.),6,"Converted to trap and sort facility during the sea lamprey migration

Near Port Royal, Ontario", , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,42.758882209299998,-80.503685416200000,0.000000000000000,0.000000000000000,0,0, , , ,Big Creek, ,02GC000, ,4c920600-2884-4886-a9c0-11cf7ca5b9d8,05085c72-b5f5-4f2e-b805-c6f540a910b8, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4c920600-2884-4886-a9c0-11cf7ca5b9d8,fishways, , ,0, , ,Ontario,Vertical slot,Big Creek Fishway, ,ON-02GC-04,02GC000,02GC
108,0.000000000000000, ,0,0, ,Halifax, ,0,ns,East and West River Sheet Harbour,3,Nova Scotia Power Dam. The road was gated and the dam was fenced off., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.988332999999997,-62.484999999999999,0.000000000000000,0.000000000000000,0,0, , , ,Malay Falls Flowage, ,01EM000, ,79682959-3587-4ca1-9ffc-47a21182d213,f2fae8df-efe4-45b9-bc84-562b51a12c0f, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/79682959-3587-4ca1-9ffc-47a21182d213,fishways, , ,0, , ,Nova Scotia,Pool and weir,Malay Falls, , ,01EM000,01EM
109,0.000000000000000, ,0,0, ,Markham, ,2,on,Humber - Don,1,"MNR owned

Also acts as a lamprey barrier", , ,Toronto Zenith Contracting Ltd.,0.000000000000000,MMM Group and MIE Consulting Engineers Ltd.,0.000000000000000,1,0.000000000000000,"Passage can be blocked

Twin Denil style fishway

Engineer: Marshall Macklin Monaghan",0.000000000000000,0.000000000000000, ,0, ,43.868299700000001,-79.262295800000004,0.000000000000000,0.000000000000000,0,0, , ,Assist migrating Rainbow trout,Rouge River, ,02HC000, ,4edf61ae-c89c-4770-bbab-5ad3b841fdde,2e0ee52f-4338-4447-8618-62d0828b47e2, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4edf61ae-c89c-4770-bbab-5ad3b841fdde,fishways, , ,2003, ,Bank,Ontario,Denil,Milne Dam Fishway, ,ON-02HC-07,02HC000,02HC
110,0.000000000000000, ,0,0,Electronic fish counter,Port Hope, ,0,on,Ganaraska,3,"CA owned dam, MNR owned fishway

Lamprey barrier

Easily blocked at entrance

Fishway utilized by 5000-6,000 rainbow trout each spring

Also called Corbett Dam Fishway",MNR staff and volunteers, , ,27.500000000000000, ,0.000000000000000,0,3.700000000000000, ,0.000000000000000,0.000000000000000, ,0, ,43.968794402999997,-78.294853962399998,0.000000000000000,0.000000000000000,0,0,mayoct, , ,Ganaraska River, ,02HD000, ,4f232b54-5c41-46dd-a698-e69a88d25758,fe798a33-b8ab-4fad-bbdf-ce23720b8451,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4f232b54-5c41-46dd-a698-e69a88d25758,fishways, , ,1974, , ,Ontario,Pool and weir,Ganaraska Fishway (Corbett Dam), ,ON-029B-02,02HD000,02HD
111,0.000000000000000,Add pools and slots,0,1, ,Clare,Evaluation of fish Passage,0,ns,Meteghan,3,"It appears as though the fish way originally had six pools that were larger than the current pools, this is evident because of the slots where the baffles once were. The fish way now has eight pools that have a smaller distance betweel baffles. New slots", , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Functional & No Maintenance,0.000000000000000,0.000000000000000, ,1, ,44.279930123000000,-66.039669366200002,0.000000000000000,0.000000000000000,0,0, , , ,Meteghan River, ,01DA000, ,54d921c1-1a3c-4c32-9751-5ae9a93cccb1,be0b4c39-5ec3-4ffb-8ddc-28dd87229820, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/54d921c1-1a3c-4c32-9751-5ae9a93cccb1,fishways, , ,0, , ,Nova Scotia,Pool and weir,DU6201 Guy Mill Pond Restoration Project, , ,01DA000,01DA
112,0.000000000000000, ,0,0, ,Brockton, ,0,on,Saugeen,1,"MNR owned fishway

Short distance downstream of Hanover, Ontario

Needs modifications to improve efficiency",MNR, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.142955559999997,-81.068602780000006,0.000000000000000,0.000000000000000,0,0, , , ,Saugeen River, ,02FC000, ,56ff7148-af92-4fc7-aa80-ca90ecc5310c,002c2b32-872d-4b89-b3de-65eb6b2e1a84, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/56ff7148-af92-4fc7-aa80-ca90ecc5310c,fishways, , ,0, , ,Ontario,Denil,Maple Hill Fishway, ,ON-02FC-03,02FC000,02FC
113,0.000000000000000, ,0,0, ,Shelburne, ,0,ns,Roseway,3,The pool drops are large (0.46 - 0.61 m) but because the fish way has a natural bottom it appears to be passable. The top two pools are a pool and weir fish way with concrete walls and baffles. The bottom five pools have a natural bottom with concrete ba, , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Functional & No Maintenance,0.000000000000000,0.000000000000000, ,0, ,43.783522220000002,-65.343841670000003,0.000000000000000,0.000000000000000,0,0, , , ,Roseway River, ,01EC000, ,57bfc72f-435c-42cf-a45d-ede5e498a784,1df1fb27-f052-4531-a21f-a95a8a0714bf, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/57bfc72f-435c-42cf-a45d-ede5e498a784,fishways, , ,0, , ,Nova Scotia,Pool and weir,Roseway Main Dam, , ,01EC000,01EC
114,7.100000000000000,Redesigned fishway from pool and weir fishway to Denil style design due to poor performance,0,1, ,Lesser Slave River No.124, ,2,ab,Lesser Slave,1,GPS coordinates may not be completely accurate., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,55.319738890000004,-114.056005600000006,0.000000000000000,0.000000000000000,0,0, , , ,Fawcett River, ,07BK000, ,57c8b2c8-d27c-421a-b93a-5270309e768a,a4f3014a-2d3b-4883-bf0e-580a5729aeed, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/57c8b2c8-d27c-421a-b93a-5270309e768a,fishways, , ,0, ,Bank,Alberta,Denil,Fawcett River Weir Denil - 1, ,AB-17040304,07BK000,07BK
115,0.000000000000000, ,2018,1, ,Grande Prairie County No. 1,tagged fish on spawning runs,0,ab,Redwillow,1, , , , ,0.000000000000000, ,0.000000000000000,1,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,55.191786110000002,-119.449708299999998,0.000000000000000,0.000000000000000,0,0, , ,To pass Esox lucius and Thymallus arcticus,Beaverlodge River, ,07GD000, ,57f4a9a4-1bef-4a08-ab8c-7da9c0f2a5b1,35051252-cf9a-446b-bbc4-7494110f8925,{""Arctic grayling (Thymallus arcticus)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/57f4a9a4-1bef-4a08-ab8c-7da9c0f2a5b1,fishways, , ,1983, , ,Alberta,Denil,Beaverlodge River Weir, ,AB-18020401,07GD000,07GD
116,0.000000000000000, ,0,0, ,Georgina, ,0,on,Severn - Lake Simcoe,6,"Owned by MNR

Fishway is installed annually, 300 fish are passed annually

Removable structure which is removed during the winter.

Constructed for another site in 1977, transferred to Pefferlaw in 1985.

Near Georgina, Ontario.",Volunteers from the Pefferlaw Anglers, , ,0.000000000000000, ,0.000000000000000,0,2.600000000000000,Circular vertical slot fishway,0.000000000000000,0.000000000000000, ,0, ,44.313544440000001,-79.197227780000006,0.000000000000000,0.000000000000000,0,0, , , ,Pefferlaw Brook, ,02EC000, ,589d6e28-6881-47ef-8e7c-cded4759fec7,b6253c47-9b6d-41fa-9e3f-e6b5e0b03f86, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/589d6e28-6881-47ef-8e7c-cded4759fec7,fishways, , ,1985, , ,Ontario,Vertical slot,Pefferlaw Fishway, ,ON-02EC-07,02EC000,02EC
117,0.000000000000000, ,0,0,None,Toronto, ,0,on,Humber - Don,2,"Owned by the Toronto Region Conservation Authority

Fishway is not monitored", , , ,0.000000000000000, ,0.000000000000000,0,1.500000000000000,"The rock ramp was constructed and upstream weir reshaped along with riverbed reshaping, allowing salmon to pass upstream

Rocky ramp design comprised of river and armour stone",0.000000000000000,0.000000000000000, ,0, ,43.741337221599998,-79.332777958999998,0.000000000000000,0.000000000000000,0,0, , , ,Don River, ,02HC000, ,59197680-f6aa-414e-b25c-39d07b3f1b5a,08efd7ae-8f7e-4497-9ce5-3b1a0499629a, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/59197680-f6aa-414e-b25c-39d07b3f1b5a,fishways, , ,1999, , ,Ontario,Nature-like fishway,Lawrence Avenue Rock Ramp, ,ON-02HC-06,02HC000,02HC
118,0.000000000000000, ,0,0, ,"Cumberland, Subd. C",Evaluation of fish Passage,0,ns,Maccan,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,45.768000000000001,-64.091870000000000,0.000000000000000,0.000000000000000,0,0, , , , , ,01DL000, ,a0d3b51e-3474-4df2-a110-59c3a54b93f9,1908b122-f7ef-46c8-abfc-03f9ff81f6bd, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/a0d3b51e-3474-4df2-a110-59c3a54b93f9,fishways, , ,0, , ,Nova Scotia,Pool and weir,Nappan, , ,01DL000,01DL
119,0.000000000000000, ,0,0, ,"Division No.  8, Subd. C",Counting Traps,0,nl,Southwestern Notre Dame Bay,3,Original fishways were wooden no mention of replacement fishways being installed in moores and Ash 1984., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.425951808800001,-56.134902203599999,0.000000000000000,0.000000000000000,0,0, , , ,Riverhead Brook, ,02YP000, ,aa9375c5-c138-4bf0-9c51-442aa344e74c, ,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/aa9375c5-c138-4bf0-9c51-442aa344e74c,fishways, , ,1954, , ,Newfoundland and Labrador,Pool and weir,Riverhead Brook Dam fishway B, , ,02YP000,02YP
120,0.000000000000000, ,0,0, ,"Division No.  7, Subd. E", ,0,nl,Southern and Eastern Bonavista Bay,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.406999999999996,-54.230494440000001,0.000000000000000,0.000000000000000,0,0, , , ,Northwest River, ,02YS000, ,5672fcd8-746c-4605-bdc8-9176a75b0961, ,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5672fcd8-746c-4605-bdc8-9176a75b0961,fishways, , ,1949, , ,Newfoundland and Labrador,Pool and weir,Northwest River fishway, , ,02YS000,02YS
121,0.000000000000000, ,0,0, ,"Division No.  8, Subd. C",Counting Traps,0,nl,Southwestern Notre Dame Bay,3,Original fishways were wooden no mention of replacement fishways being installed in moores and Ash 1984., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.425964657100003,-56.134976723699999,0.000000000000000,0.000000000000000,0,0,junsep, , ,Riverhead Brook, ,02YP000, ,6939a9cc-2ee1-40db-b5a9-f037d08ee84c, ,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/6939a9cc-2ee1-40db-b5a9-f037d08ee84c,fishways, , ,1954, , ,Newfoundland and Labrador,Pool and weir,Riverhead Brook Dam fishway A, , ,02YP000,02YP
122,0.000000000000000, ,0,0, ,Laval, ,0,qc, ,3,"Near Laval

Techincal report

Desrocher et Roy, 1992; Desrochers, 1991; Environnement Illimitd, 1993, 1994",Hydro Quabec, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,45.590841670000003,-73.657055560000003,0.000000000000000,0.000000000000000,0,0, , , ,Riviore Des Prairies/Laval, ,0210001, ,4431afba-a63c-4366-8d0a-309506a61228,57448e99-1a02-48ec-8908-0aa8348b604d, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4431afba-a63c-4366-8d0a-309506a61228,fishways, , ,0, , ,Quebec,Pool and weir,Centrale Rivi,Centrale Rivi, ,0210001,0210
123,0.000000000000000, ,0,0, ,Halifax, ,0,ns,Sackville,3,Fish way has been built along bedrock outcropping and therefore the baffle height varies., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Functional & No Maintenance,0.000000000000000,0.000000000000000, ,0, ,44.773933329999998,-63.712449999999997,0.000000000000000,0.000000000000000,0,0, , , ,Sackville River, ,01EJ000, ,d0164cce-a97d-4de3-8e80-913df926227b, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/d0164cce-a97d-4de3-8e80-913df926227b,fishways, , ,0, , ,Nova Scotia,Pool and weir,Donald John Cox Fishway, , ,01EJ000,01EJ
124,8.300000000000001, ,0,0, ,Eeyou Istchee Baie-James, ,2,qc,Central La Grande,6, ,Societe d'Energie Baie James, , ,31.000000000000000,La societe de l'energie de Baie James,1.000000000000000,1,2.400000000000000, ,0.000000000000000,0.000000000000000, ,0, ,53.467958330000002,-76.949791669999996,0.000000000000000,0.000000000000000,2,0, ,La societe de l'energie de Baie James,To pass walleye and northern pike,BA-02, ,03DC001, ,1bc11514-5121-4cb8-a3ef-208a2b313780, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1bc11514-5121-4cb8-a3ef-208a2b313780,fishways, , ,1980,Surface,Bank,Quebec,Vertical slot,BA-02,BA-02, ,03DC001,03DCB
125,0.000000000000000, ,0,0, ,"Division No.  3, Subd. A", ,0,nl,Fortune Bay,3,fishway does not work very well, , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,47.828239122200003,-55.449942280599998,0.000000000000000,0.000000000000000,0,0, , ,to pass salmon upstream of natural barriers,Bay du Nord River, ,02ZF000, ,dbfc206c-0f71-4e39-af69-cd895e4f105a, ,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/dbfc206c-0f71-4e39-af69-cd895e4f105a,fishways, , ,1949, , ,Newfoundland and Labrador,Pool and weir,Smokey Falls, , ,02ZF000,02ZF
126,0.000000000000000, ,0,0, ,"Division No.  4, Subd. C", ,0,nl,St. George's Bay,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.405330675300000,-58.570743404700004,0.000000000000000,0.000000000000000,0,0, , , ,Flat Bay Brook, ,02ZA000, ,f0cd313c-8ea1-4cfa-89d4-315ee4c969b6, ,{""Atlantic salmon (Salmo salar)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f0cd313c-8ea1-4cfa-89d4-315ee4c969b6,fishways, , ,0, , ,Newfoundland and Labrador,Pool and weir,Flat Bay Brook fishway, , ,02ZA000,02ZA
127,0.000000000000000, ,0,0, ,Yarmouth, ,0,ns,Tusket,9, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,43.916672256799998,-66.010011537500006,0.000000000000000,0.000000000000000,0,0, , , ,Cloverhill Brook, ,01EA000, ,c833173f-01c5-4277-8d0a-b69fe71dd09f,779e5bf0-ff98-457a-9dce-a2563ba22279, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/c833173f-01c5-4277-8d0a-b69fe71dd09f,fishways, , ,0, , ,Nova Scotia,Unknown,Beaver Lk Meadow, , ,01EA000,01EA
128,0.000000000000000, ,0,0, ,Clare, ,0,ns,Meteghan,9,We could not get within 2 km of the site because the roads were gated., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.233511000000000,-65.973511999999999,0.000000000000000,0.000000000000000,0,0, , , ,Blackadar Brook, ,01DA000, ,a24fa816-7df6-4990-a67b-925bb5cac2e7, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/a24fa816-7df6-4990-a67b-925bb5cac2e7,fishways, , ,0, , ,Nova Scotia,Unknown, , , ,01DA000,01DA
129,0.000000000000000, ,0,0, ,Lac-Ashuapmushuan, ,0,qc,Lac Saint-Jean,9,"fish called Passe Hydro Ilnu

Gilles R.Gill

Socirts MINASTUK  societe.minashtuk@cgocable.ca",Hydro Ilnu, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,48.542099999999998,-72.122000000000000,0.000000000000000,0.000000000000000,0,0, , , ,Riviere Mistassibi, ,02RG001, ,3395352d-9aa0-47ca-91d1-da0e3268ed36, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/3395352d-9aa0-47ca-91d1-da0e3268ed36,fishways, , ,0, , ,Quebec,Unknown,Centrale Minashtuk,Centrale Minashtuk, ,02RG001,02RG
130,0.000000000000000, ,0,0, ,Clare, ,0,ns,Meteghan,3,We could not get a good look at the fish way. Water flowing over the dam was preventing access to the fish way. The fish way did not appear to be passable., , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.174920000000000,-66.059600000000003,0.000000000000000,0.000000000000000,0,0, , , ,Salmon River, ,01DA000, ,75951bf8-d9cd-4ffc-9ca5-576886b514ab, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/75951bf8-d9cd-4ffc-9ca5-576886b514ab,fishways, , ,0, , ,Nova Scotia,Pool and weir, , , ,01DA000,01DA
131,0.000000000000000, ,0,0,Fish trap counts,"Division No.  9, Subd. A", ,2,nl,Bonne Bay,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.391391669999997,-57.720075000000001,0.000000000000000,0.000000000000000,2,0,junsep, , ,Lomond River, ,02YH000, ,aba46709-dbba-4a3c-b7ed-b943950fe5e7, ,"{""Brook trout (Salvelinus fontinalis)"",""Atlantic salmon (Salmo salar)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/aba46709-dbba-4a3c-b7ed-b943950fe5e7,fishways, , ,0,Surface,Bank,Newfoundland and Labrador,Pool and weir,Lomond River fishway, , ,02YH000,02YH
